aid_attaques,Nom,Type,Niveau,Degats,Precision,Utilisation,Description
31,Onde aquatique,Renouvelable,5,12,90,24,Une onde massive chargee\n d'energie aquatique.
32,Coma hydraulique,Renouvelable,15,24,40,22,Attaque lourde.
33,Inondation,Renouvelable,25,30,90,16,Une inondation devastatrice.
34,Cascade destructrice,Renouvelable,35,40,80,10,Une chute d'eau intense\n qui pulverise l'adversaire.
35,Rayon UV,Renouvelable,0,9,100,26,Une lumiere intense \nqui surchauffe l'adversaire.
36,Coup de soleil,Renouvelable,5,13,100,21,Un tir concentre \nd'energie solaire brûlante.
37,Canicule,Renouvelable,15,22,70,18,Augmente la temperature pour \nbrûler tout obstacle.
38,Impact photovoltaïque,Renouvelable,25,33,100,14,Une frappe directe \nalimentee par la lumiere du soleil.
39,Tempete solaire,Renouvelable,25,44,80,11,Libere une enorme \nvague d'energie solaire.
40,Retour de flamme,Carburant,0,9,70,26,Crache une flamme brulante \ndepuis un moteur qui surchauffe.
41,Tete a queue,Carburant,5,12,80,23,Une acceleration brutale\n pour ecraser l'adversaire.
42,Nitrocharge,Carburant,15,20,100,20,Une charge avec \nun impact explosif.
43,Derapage foudroyant,Carburant,25,28,70,15,Une attaque fulgurante\n en sortie de derapage.
44,Turbo combustion,Carburant,35,40,80,90,Une frappe alimentee \npar une propulsion rapide.
45,Champs poing,Carburant,0,7,60,30,Donne un coup de champs.
46,Trace de pneu,Carburant,5,15,70,26,Une roue massive qui \nlaisse une trace.
47,Fumee nocive,Carburant,15,20,80,22,Libere un epais nuage toxique\n pour etouffer l'adversaire.
48,Fort Broyeur,Carburant,25,33,70,17,Utilise une pression hydraulique\n pour ecraser tout obstacle.
49,Labour destructeur,Carburant,35,46,90,11,Lacere l'ennemi a l'aide\n d'outils de labour.
50,Choc marine,Carburant,0,8,80,29,Libere une puissante decharge\n depuis une source d'eau.
51,SONAR,Carburant,5,13,100,26,Une onde propulse du bateau\n a haute vitesse.
52,Ocean Pacifique,Carburant,15,19,60,22,Projette un ocean generee\n par un moteur marin.
53,Ocean pas Pacifique,Carburant,25,31,100,18,Projette un ocean massive\n generee par un moteur marin.
54,Touche coule,Carburant,35,45,40,6,One tap.
55,Onde de choc,Uranium,15,30,100,21,Une impulsion nucleaire \necrasante a courte portee.
56,Impact neutronique,Uranium,25,45,70,17,Projette une energie \nradioactive concentree.
57,Missile radiatif,Uranium,35,55,80,13,Un projectile nucleaire \ninflige des degâts sur zone.
58,Frappe atomique,Uranium,45,70,90,7,Une explosion nucleaire \nmassive et destructrice.
59,Explosion supersonique,Uranium,55,100,80,2,Une onde de choc \nrapide et devastatrice.
60,Poing mutan,Uranium,15,32,90,19,Un coup physique explosif \na base de fission nucleaire.
61,Coup irradie,Uranium,25,48,70,15,Un coup direct rempli de \nradiations dangereuses.
62,Laser kryptonien,Uranium,35,60,100,10,Un laser concentre \ncharge en energie nucleaire.
63,All in Uranus,Uranium,45,72,90,7,Une explosion nucleaire \ncausee par une surcharge.
64,Pulverisation nucleaire,Uranium,55,100,80,4,Reduit tout a neant grâce\n a une onde radioactive.
